Risk,Outcome,Category_Units,Morbidity_Mortality,Sex,All-age,0-6 days,7-27 days,28-364 days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95+ years
Occupational exposure to formaldehyde,Other leukaemia,No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to formaldehyde,Other leukaemia,No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to nickel,"Tracheal, bronchus, and lung cancer",High exposure,Both,Both,,,,,,,,2.148,2.148,2.148,2.148,2.148,2.148,2.148,2.148,2.148,2.148,2.148,2.148,2.148,2.148,2.148,2.148,2.148
Occupational exposure to nickel,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Both,,,,,,,,1.538,1.538,1.538,1.538,1.538,1.538,1.538,1.538,1.538,1.538,1.538,1.538,1.538,1.538,1.538,1.538,1.538
Occupational exposure to nickel,"Tracheal, bronchus, and lung cancer",No exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to polycyclic aromatic hydrocarbons,"Tracheal, bronchus, and lung cancer",High exposure,Both,Males,,,,,,,,1.31,1.304,1.313,1.314,1.315,1.314,1.315,1.312,1.318,1.311,1.313,1.314,1.313,1.309,1.309,1.309,1.309
Occupational exposure to polycyclic aromatic hydrocarbons,"Tracheal, bronchus, and lung cancer",High exposure,Both,Females,,,,,,,,1.31,1.311,1.313,1.313,1.316,1.313,1.314,1.314,1.311,1.312,1.309,1.316,1.315,1.315,1.315,1.315,1.315
Occupational exposure to polycyclic aromatic hydrocarbons,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to polycyclic aromatic hydrocarbons,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to polycyclic aromatic hydrocarbons,"Tracheal, bronchus, and lung cancer",No exposure,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to polycyclic aromatic hydrocarbons,"Tracheal, bronchus, and lung cancer",No exposure,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to silica,"Tracheal, bronchus, and lung cancer",High exposure,Both,Both,,,,,,,,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.698
Occupational exposure to silica,"Tracheal, bronchus, and lung cancer",Low exposure,Both,Both,,,,,,,,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537,1.537
Occupational exposure to silica,"Tracheal, bronchus, and lung cancer",No exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to sulphuric acid,Larynx cancer,High exposure,Both,Both,,,,,,,,4.566,4.566,4.566,4.566,4.566,4.566,4.566,4.566,4.566,4.566,4.566,4.566,4.566,4.566,4.566,4.566,4.566
Occupational exposure to sulphuric acid,Larynx cancer,Low exposure,Both,Both,,,,,,,,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024,2.024
Occupational exposure to sulphuric acid,Larynx cancer,No exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to trichloroethylene,Kidney cancer,High exposure,Both,Both,,,,,,,,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245,1.245
Occupational exposure to trichloroethylene,Kidney cancer,Low esposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational exposure to trichloroethylene,Kidney cancer,No exposure,Both,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational asthmagens,Asthma,Admin,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
Occupational asthmagens,Asthma,Admin,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
Occupational asthmagens,Asthma,Technical,Both,Males,,,,,,,,1.05,1.051,1.051,1.051,1.05,1.05,1.051,1.051,1.05,1.05,1.051,1.051,1.051,1.051,,,
Occupational asthmagens,Asthma,Technical,Both,Females,,,,,,,,1.06,1.06,1.059,1.061,1.06,1.06,1.059,1.06,1.06,1.061,1.06,1.061,1.06,1.06,,,
Occupational asthmagens,Asthma,Sales,Both,Males,,,,,,,,1.14,1.14,1.144,1.142,1.14,1.141,1.143,1.14,1.141,1.138,1.139,1.141,1.14,1.14,,,
Occupational asthmagens,Asthma,Sales,Both,Females,,,,,,,,1.131,1.13,1.129,1.13,1.131,1.13,1.13,1.13,1.131,1.13,1.129,1.131,1.131,1.131,,,
Occupational asthmagens,Asthma,Agriculture,Both,Males,,,,,,,,1.519,1.527,1.524,1.513,1.523,1.516,1.522,1.52,1.519,1.531,1.52,1.508,1.498,1.498,,,
Occupational asthmagens,Asthma,Agriculture,Both,Females,,,,,,,,1.52,1.506,1.52,1.514,1.509,1.513,1.508,1.526,1.519,1.53,1.519,1.518,1.502,1.502,,,
Occupational asthmagens,Asthma,Mining,Both,Males,,,,,,,,1.959,1.959,1.971,1.966,1.963,1.959,1.956,1.964,1.969,1.954,1.965,1.955,1.953,1.953,,,
Occupational asthmagens,Asthma,Mining,Both,Females,,,,,,,,1.956,1.961,1.967,1.952,1.959,1.959,1.962,1.955,1.948,1.964,1.965,1.959,1.973,1.973,,,
Occupational asthmagens,Asthma,Transport,Both,Males,,,,,,,,1.313,1.311,1.312,1.31,1.312,1.311,1.313,1.31,1.314,1.313,1.311,1.312,1.311,1.311,,,
Occupational asthmagens,Asthma,Transport,Both,Females,,,,,,,,1.221,1.22,1.217,1.221,1.221,1.221,1.22,1.22,1.221,1.223,1.221,1.224,1.22,1.22,,,
Occupational asthmagens,Asthma,Manufact,Both,Males,,,,,,,,1.559,1.561,1.56,1.562,1.561,1.561,1.56,1.562,1.558,1.562,1.559,1.562,1.561,1.561,,,
Occupational asthmagens,Asthma,Manufact,Both,Females,,,,,,,,1.33,1.331,1.33,1.329,1.331,1.329,1.33,1.332,1.331,1.331,1.33,1.33,1.331,1.331,,,
Occupational asthmagens,Asthma,Services,Both,Males,,,,,,,,1.531,1.531,1.529,1.532,1.529,1.529,1.533,1.535,1.531,1.528,1.53,1.53,1.531,1.531,,,
Occupational asthmagens,Asthma,Services,Both,Females,,,,,,,,1.41,1.41,1.412,1.41,1.409,1.409,1.41,1.411,1.409,1.411,1.41,1.41,1.411,1.411,,,
Occupational asthmagens,Asthma,Other,Both,Males,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
Occupational asthmagens,Asthma,Other,Both,Females,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
"Occupational particulate matter, gases, and fumes",Chronic obstructive pulmonary disease,High,Both,Males,,,,,,,,2.364,2.341,2.37,2.391,2.387,2.379,2.409,2.361,2.367,2.373,2.357,2.402,2.398,2.359,2.359,2.359,2.359
"Occupational particulate matter, gases, and fumes",Chronic obstructive pulmonary disease,High,Both,Females,,,,,,,,2.371,2.395,2.364,2.377,2.375,2.326,2.35,2.35,2.364,2.364,2.395,2.336,2.363,2.404,2.404,2.404,2.404
"Occupational particulate matter, gases, and fumes",Chronic obstructive pulmonary disease,Low,Both,Males,,,,,,,,1.462,1.457,1.464,1.45,1.452,1.454,1.446,1.457,1.453,1.46,1.443,1.462,1.464,1.462,1.462,1.462,1.462
"Occupational particulate matter, gases, and fumes",Chronic obstructive pulmonary disease,Low,Both,Females,,,,,,,,1.446,1.459,1.453,1.459,1.456,1.47,1.44,1.457,1.455,1.451,1.459,1.448,1.467,1.456,1.456,1.456,1.456
Occupational noise,Mild hearing loss due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,7.477,7.423,5.504,5.456,3.07,3.081,2.546,2.554,1.849,1.85,1.45,1.454,1.131,1.131,1.131,1.131,1.131
Occupational noise,Mild hearing loss with ringing due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,7.477,7.423,5.504,5.456,3.07,3.081,2.546,2.554,1.849,1.85,1.45,1.454,1.131,1.131,1.131,1.131,1.131
Occupational noise,Moderate hearing loss due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,8.175,8.31,6.71,6.756,5.992,5.987,5.624,5.61,3.643,3.601,2.17,2.146,1.291,1.291,1.291,1.291,1.291
Occupational noise,Moderate hearing loss with ringing due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,8.175,8.31,6.71,6.756,5.992,5.987,5.624,5.61,3.643,3.601,2.17,2.146,1.291,1.291,1.291,1.291,1.291
Occupational noise,Moderately severe hearing loss due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,8.27,8.233,6.764,6.726,6.007,6.072,5.638,5.704,3.638,3.591,2.162,2.168,1.297,1.297,1.297,1.297,1.297
Occupational noise,Moderately severe hearing loss with ringing due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,8.27,8.233,6.764,6.726,6.007,6.072,5.638,5.704,3.638,3.591,2.162,2.168,1.297,1.297,1.297,1.297,1.297
Occupational noise,Severe hearing loss with ringing due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,8.249,8.292,6.707,6.687,6.075,5.983,5.66,5.61,3.62,3.583,2.138,2.173,1.294,1.294,1.294,1.294,1.294
Occupational noise,Severe hearing loss due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,8.249,8.292,6.707,6.687,6.075,5.983,5.66,5.61,3.62,3.583,2.138,2.173,1.294,1.294,1.294,1.294,1.294
Occupational noise,Profound hearing loss due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,8.33,8.437,6.69,6.734,5.974,5.981,5.629,5.589,3.591,3.607,2.144,2.173,1.294,1.294,1.294,1.294,1.294
Occupational noise,Profound hearing loss with ringing due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,8.33,8.437,6.69,6.734,5.974,5.981,5.629,5.589,3.591,3.607,2.144,2.173,1.294,1.294,1.294,1.294,1.294
Occupational noise,Complete hearing loss due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,8.242,8.371,6.771,6.703,5.932,5.941,5.62,5.628,3.625,3.625,2.17,2.17,1.291,1.291,1.291,1.291,1.291
Occupational noise,Complete hearing loss with ringing due to age-related and other hearing loss,"High exposure, >90dB",Morbidity,Both,,,,,,,,8.242,8.371,6.771,6.703,5.932,5.941,5.62,5.628,3.625,3.625,2.17,2.17,1.291,1.291,1.291,1.291,1.291
Occupational noise,Mild hearing loss due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,2.807,2.764,2.953,2.934,2.176,2.172,1.988,1.991,1.551,1.553,1.301,1.3,1.091,1.091,1.091,1.091,1.091
Occupational noise,Mild hearing loss with ringing due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,2.807,2.764,2.953,2.934,2.176,2.172,1.988,1.991,1.551,1.553,1.301,1.3,1.091,1.091,1.091,1.091,1.091
Occupational noise,Moderate hearing loss due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,3.072,3.037,3.471,3.454,3.888,3.855,3.93,3.925,2.719,2.689,1.815,1.817,1.228,1.228,1.228,1.228,1.228
Occupational noise,Moderate hearing loss with ringing due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,3.072,3.037,3.471,3.454,3.888,3.855,3.93,3.925,2.719,2.689,1.815,1.817,1.228,1.228,1.228,1.228,1.228
Occupational noise,Moderately severe hearing loss due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,3.043,3.008,3.472,3.45,3.84,3.809,3.952,3.931,2.732,2.709,1.837,1.807,1.219,1.219,1.219,1.219,1.219
Occupational noise,Moderately severe hearing loss with ringing due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,3.043,3.008,3.472,3.45,3.84,3.809,3.952,3.931,2.732,2.709,1.837,1.807,1.219,1.219,1.219,1.219,1.219
Occupational noise,Severe hearing loss with ringing due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,3.023,2.972,3.444,3.482,3.837,3.867,3.98,3.943,2.711,2.693,1.83,1.825,1.218,1.218,1.218,1.218,1.218
Occupational noise,Severe hearing loss due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,3.023,2.972,3.444,3.482,3.837,3.867,3.98,3.943,2.711,2.693,1.83,1.825,1.218,1.218,1.218,1.218,1.218
Occupational noise,Profound hearing loss due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,3.023,3.018,3.455,3.446,3.875,3.848,3.943,3.944,2.697,2.69,1.833,1.813,1.222,1.222,1.222,1.222,1.222
Occupational noise,Profound hearing loss with ringing due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,3.023,3.018,3.455,3.446,3.875,3.848,3.943,3.944,2.697,2.69,1.833,1.813,1.222,1.222,1.222,1.222,1.222
Occupational noise,Complete hearing loss due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,3.004,2.986,3.482,3.478,3.858,3.813,3.917,3.985,2.701,2.695,1.812,1.824,1.222,1.222,1.222,1.222,1.222
Occupational noise,Complete hearing loss with ringing due to age-related and other hearing loss,"Low exposure, 85-90dB",Morbidity,Both,,,,,,,,3.004,2.986,3.482,3.478,3.858,3.813,3.917,3.985,2.701,2.695,1.812,1.824,1.222,1.222,1.222,1.222,1.222
Occupational noise,Mild hearing loss due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Mild hearing loss with ringing due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Moderate hearing loss due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Moderate hearing loss with ringing due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Moderately severe hearing loss due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Moderately severe hearing loss with ringing due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Severe hearing loss with ringing due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Severe hearing loss due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Profound hearing loss due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Profound hearing loss with ringing due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Complete hearing loss due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational noise,Complete hearing loss with ringing due to age-related and other hearing loss,No exposure,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Occupational ergonomic factors,Low back pain,"Professional,  technical and related workers",Morbidity,Both,,,,,,,,1.173,1.172,1.169,1.17,1.17,1.172,1.171,1.169,1.171,1.17,1.17,1.172,1.172,1.172,,,
Occupational ergonomic factors,Low back pain,Administrative and managerial workers,Morbidity,Both,,,,,,,,1.211,1.21,1.209,1.209,1.207,1.207,1.205,1.205,1.205,1.203,1.209,1.21,1.203,1.203,,,
Occupational ergonomic factors,Low back pain,Clerical and related workers,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
Occupational ergonomic factors,Low back pain,Sales workers,Morbidity,Both,,,,,,,,1.22,1.21,1.213,1.214,1.207,1.218,1.212,1.216,1.219,1.211,1.213,1.21,1.214,1.214,,,
Occupational ergonomic factors,Low back pain,Service workers,Morbidity,Both,,,,,,,,1.472,1.472,1.471,1.472,1.469,1.472,1.469,1.47,1.472,1.472,1.474,1.47,1.472,1.472,,,
Occupational ergonomic factors,Low back pain,"Agriculture,  animal husbandry and forestry workers,  fishermen and hunters",Morbidity,Both,,,,,,,,3.789,3.762,3.869,3.775,3.774,3.771,3.793,3.785,3.776,3.792,3.802,3.746,3.77,3.77,,,
Occupational ergonomic factors,Low back pain,"Production and related workers,  transport equipment operators and labourers",Morbidity,Both,,,,,,,,1.543,1.54,1.542,1.543,1.542,1.543,1.541,1.542,1.541,1.54,1.54,1.538,1.541,1.541,,,
Occupational ergonomic factors,Low back pain,Background,Morbidity,Both,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
Lower respiratory infections,Lower respiratory infections,Partial,Both,Both,,,1.483,1.483,,,,,,,,,,,,,,,,,,,,
Lower respiratory infections,Lower respiratory infections,Predominant,Both,Both,,,1.369,1.369,,,,,,,,,,,,,,,,,,,,
Lower respiratory infections,Lower respiratory infections,Exclusive,Both,Both,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,Diarrhoeal diseases,Partial,Both,Both,,,2.633,2.633,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,Diarrhoeal diseases,Predominant,Both,Both,,,2.346,2.346,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,Diarrhoeal diseases,Exclusive,Both,Both,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Discontinued breastfeeding,Diarrhoeal diseases,Discontinued,Both,Both,,,,1.313,1.313,,,,,,,,,,,,,,,,,,,
Discontinued breastfeeding,Diarrhoeal diseases,Continued,Both,Both,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Child underweight,Lower respiratory infections,<-3 sd,Both,Both,,,,2.593,2.593,,,,,,,,,,,,,,,,,,,
Child underweight,Lower respiratory infections,-2 to -3 sd,Both,Both,,,,1.365,1.365,,,,,,,,,,,,,,,,,,,
Child underweight,Lower respiratory infections,-1 to -2 sd,Both,Both,,,,1.145,1.145,,,,,,,,,,,,,,,,,,,
Child underweight,Lower respiratory infections,-1 sd and above,Both,Both,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Child underweight,Diarrhoeal diseases,<-3 sd,Both,Both,,,,2.332,2.332,,,,,,,,,,,,,,,,,,,
Child underweight,Diarrhoeal diseases,-2 to -3 sd,Both,Both,,,,1.23,1.23,,,,,,,,,,,,,,,,,,,
Child underweight,Diarrhoeal diseases,-1 to -2 sd,Both,Both,,,,1.088,1.088,,,,,,,,,,,,,,,,,,,
Child underweight,Diarrhoeal diseases,-1 sd and above,Both,Both,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Child underweight,Measles,<-3 sd,Both,Both,,,,5.668,5.668,,,,,,,,,,,,,,,,,,,
Child underweight,Measles,-2 to -3 sd,Both,Both,,,,2.458,2.458,,,,,,,,,,,,,,,,,,,
Child underweight,Measles,-1 to -2 sd,Both,Both,,,,0.995,0.995,,,,,,,,,,,,,,,,,,,
Child underweight,Measles,-1 sd and above,Both,Both,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Child wasting,Lower respiratory infections,<-3 sd,Both,Both,,,,47.67,47.67,,,,,,,,,,,,,,,,,,,
Child wasting,Lower respiratory infections,-2 to -3 sd,Both,Both,,,,20.455,20.455,,,,,,,,,,,,,,,,,,,
Child wasting,Lower respiratory infections,-1 to -2 sd,Both,Both,,,,5.941,5.941,,,,,,,,,,,,,,,,,,,
Child wasting,Lower respiratory infections,-1 sd and above,Both,Both,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Child wasting,Diarrhoeal diseases,<-3 sd,Both,Both,,,,105.759,105.759,,,,,,,,,,,,,,,,,,,
Child wasting,Diarrhoeal diseases,-2 to -3 sd,Both,Both,,,,23.261,23.261,,,,,,,,,,,,,,,,,,,
Child wasting,Diarrhoeal diseases,-1 to -2 sd,Both,Both,,,,6.601,6.601,,,,,,,,,,,,,,,,,,,
Child wasting,Diarrhoeal diseases,-1 sd and above,Both,Both,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Child wasting,Measles,<-3 sd,Both,Both,,,,37.936,37.936,,,,,,,,,,,,,,,,,,,
Child wasting,Measles,-2 to -3 sd,Both,Both,,,,8.477,8.477,,,,,,,,,,,,,,,,,,,
Child wasting,Measles,-1 to -2 sd,Both,Both,,,,1.833,1.833,,,,,,,,,,,,,,,,,,,
Child wasting,Measles,-1 sd and above,Both,Both,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Child stunting,Lower respiratory infections,<-3 sd,Both,Both,,,,2.355,2.355,,,,,,,,,,,,,,,,,,,
Child stunting,Lower respiratory infections,-2 to -3 sd,Both,Both,,,,1.318,1.318,,,,,,,,,,,,,,,,,,,
Child stunting,Lower respiratory infections,-1 to -2 sd,Both,Both,,,,1.158,1.158,,,,,,,,,,,,,,,,,,,
Child stunting,Lower respiratory infections,-1 sd and above,Both,Both,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Child stunting,Diarrhoeal diseases,<-3 sd,Both,Both,,,,1.851,1.851,,,,,,,,,,,,,,,,,,,
Child stunting,Diarrhoeal diseases,-2 to -3 sd,Both,Both,,,,1.222,1.222,,,,,,,,,,,,,,,,,,,
Child stunting,Diarrhoeal diseases,-1 to -2 sd,Both,Both,,,,1.111,1.111,,,,,,,,,,,,,,,,,,,
Child stunting,Diarrhoeal diseases,-1 sd and above,Both,Both,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Child stunting,Measles,<-3 sd,Both,Both,,,,2.487,2.487,,,,,,,,,,,,,,,,,,,
Child stunting,Measles,-2 to -3 sd,Both,Both,,,,1.54,1.54,,,,,,,,,,,,,,,,,,,
Child stunting,Measles,-1 to -2 sd,Both,Both,,,,1.103,1.103,,,,,,,,,,,,,,,,,,,
Child stunting,Measles,-1 sd and above,Both,Both,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [0, 24) wks, [0, 500) g",Mortality,Males,,877.775,526.788,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [0, 24) wks, [0, 500) g",Mortality,Females,,857.044,575.632,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [0, 24) wks, [500, 1000) g",Mortality,Males,,647.899,392.723,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [0, 24) wks, [500, 1000) g",Mortality,Females,,628.647,416.95,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [24, 26) wks, [500, 1000) g",Mortality,Males,,534.904,375.56,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [24, 26) wks, [500, 1000) g",Mortality,Females,,509.388,394.982,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [26, 28) wks, [1000, 1500) g",Mortality,Males,,150.649,140.284,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [26, 28) wks, [1000, 1500) g",Mortality,Females,,142.251,140.771,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [26, 28) wks, [500, 1000) g",Mortality,Males,,281.284,280.84,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [26, 28) wks, [500, 1000) g",Mortality,Females,,257.799,280.84,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [28, 30) wks, [1000, 1500) g",Mortality,Males,,88.889,87.596,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [28, 30) wks, [1000, 1500) g",Mortality,Females,,82.25,86.675,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [28, 30) wks, [1500, 2000) g",Mortality,Males,,71.963,42.294,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [28, 30) wks, [1500, 2000) g",Mortality,Females,,70.154,46.161,,,,,,,,,,,,,,,,,,,,,
Low birth weight and short gestation,Diarrhoeal diseases,"Birth prevalence - [28, 30) wks, [2000, 2500) g",Mortality,Males,,65.936,23.785,,,,,,,,,,,,,,,,,,,,,
